Reading_ID,Moisture_pct,Soil_Temp_C,EC_Conductivity_dS_m,pH_Level,Fault_Status
SOIL_00001,33.77,25.84,1.5,5.7,0
SOIL_00002,31.58,25.09,2.71,7.46,0
SOIL_00003,50.35,25.36,2.26,6.46,0
SOIL_00004,254.68,25.65,1.54,6.07,1
SOIL_00005,52.66,24.63,2.19,5.19,0
SOIL_00006,-51.63,30.63,2.34,6.82,1
SOIL_00007,47.18,25.61,4.09,8.47,1
SOIL_00008,48.06,22.22,2.17,6.31,0
SOIL_00009,73.23,31.24,1.79,6.11,0
SOIL_00010,50.11,25.21,1.0,6.49,0
SOIL_00011,32.68,25.44,1.39,6.44,0
SOIL_00012,37.1,18.99,2.0,6.21,0
SOIL_00013,34.06,22.19,1.89,8.16,0
SOIL_00014,62.55,15.16,1.67,6.54,0
SOIL_00015,68.2,12.91,1.59,5.46,0
SOIL_00016,64.21,11.69,1.84,5.56,0
SOIL_00017,31.89,20.68,0.68,7.41,0
SOIL_00018,46.3,30.21,3.0,6.73,0
SOIL_00019,57.62,24.61,1.55,6.22,0
SOIL_00020,23.98,27.2,2.15,6.15,0
SOIL_00021,61.36,16.8,2.93,7.06,0
SOIL_00022,60.32,23.81,2.59,5.87,0
SOIL_00023,55.8,34.2,2.01,6.38,0
SOIL_00024,-30.48,26.79,1.72,7.08,1
SOIL_00025,43.51,19.76,1.78,5.91,0
SOIL_00026,29.96,11.84,0.66,7.52,0
SOIL_00027,66.07,14.12,0.95,5.19,0
SOIL_00028,45.82,25.94,1.97,6.53,0
SOIL_00029,35.61,23.33,1.54,6.56,0
SOIL_00030,47.31,32.78,0.75,4.8,0
SOIL_00031,47.18,22.39,2.0,5.91,0
SOIL_00032,36.66,13.09,2.33,6.98,0
SOIL_00033,54.79,20.63,2.62,5.92,0
SOIL_00034,79.49,22.26,2.17,6.29,0
SOIL_00035,22.62,19.69,1.36,,1
SOIL_00036,23.05,21.98,2.28,7.28,0
SOIL_00037,67.23,24.24,2.0,6.77,0
SOIL_00038,59.19,9.84,1.15,6.14,0
SOIL_00039,75.07,17.97,1.13,5.93,0
SOIL_00040,79.02,29.57,2.39,-0.71,1
SOIL_00041,58.94,31.68,2.02,6.62,0
SOIL_00042,24.37,14.34,1.98,7.31,0
SOIL_00043,51.4,14.35,1.84,6.99,0
SOIL_00044,38.74,26.58,2.22,18.33,1
SOIL_00045,54.03,34.16,1.44,7.36,0
SOIL_00046,31.86,23.32,1.71,6.6,0
SOIL_00047,54.93,22.65,2.32,6.7,0
SOIL_00048,58.23,17.75,1.83,4.9,0
SOIL_00049,50.38,28.08,1.28,6.11,0
SOIL_00050,52.88,20.18,1.32,6.55,0
SOIL_00051,58.51,31.42,1.83,5.47,0
SOIL_00052,31.75,24.16,-0.01,7.56,0
SOIL_00053,50.86,23.55,3.03,7.1,0
SOIL_00054,43.91,17.07,1.68,6.18,0
SOIL_00055,65.51,17.28,2.14,7.95,0
SOIL_00056,59.55,18.29,2.25,6.8,0
SOIL_00057,35.07,21.44,1.98,7.6,0
SOIL_00058,58.02,28.63,0.84,5.85,0
SOIL_00059,70.24,26.93,1.05,6.88,0
SOIL_00060,52.63,19.18,0.76,7.57,0
SOIL_00061,39.49,9.45,2.57,7.45,0
SOIL_00062,25.83,17.65,0.72,7.31,0
SOIL_00063,9.61,22.92,1.34,7.5,0
SOIL_00064,65.14,23.39,2.71,7.72,0
SOIL_00065,20.7,33.0,1.01,4.65,0
SOIL_00066,26.73,30.58,1.9,6.16,0
SOIL_00067,46.87,-33.86,2.33,5.11,1
SOIL_00068,50.64,50.79,1.76,5.12,1
SOIL_00069,71.49,23.69,1.91,18.83,1
SOIL_00070,51.64,25.08,2.17,6.16,0
SOIL_00071,40.17,29.91,3.05,7.59,0
SOIL_00072,40.19,16.07,1.15,5.55,0
SOIL_00073,17.71,27.35,1.49,6.64,0
SOIL_00074,70.94,25.57,2.24,7.78,0
SOIL_00075,60.96,18.95,1.66,-0.85,1
SOIL_00076,49.98,29.82,1.41,8.06,0
SOIL_00077,70.79,10.62,2.52,5.0,0
SOIL_00078,64.35,35.04,0.24,5.82,0
SOIL_00079,54.71,29.9,2.59,7.73,0
SOIL_00080,44.4,20.84,2.91,5.96,0
SOIL_00081,45.68,19.46,1.66,6.31,0
SOIL_00082,18.39,21.79,0.88,7.84,0
SOIL_00083,64.32,17.49,1.92,7.03,0
SOIL_00084,41.46,20.64,2.14,5.18,0
SOIL_00085,64.19,26.93,10.52,6.99,1
SOIL_00086,58.2,17.75,1.86,5.93,0
SOIL_00087,46.83,27.64,3.16,6.11,0
SOIL_00088,60.14,20.52,2.68,-0.07,1
SOIL_00089,30.97,28.56,2.17,6.04,0
SOIL_00090,18.47,30.18,2.09,18.37,1
SOIL_00091,42.27,5.0,1.83,5.8,1
SOIL_00092,52.89,9.34,1.91,6.74,0
SOIL_00093,60.47,22.99,1.73,7.11,0
SOIL_00094,46.67,23.54,1.94,6.45,0
SOIL_00095,28.78,5.0,0.66,6.56,1
SOIL_00096,68.48,32.01,0.28,6.57,0
SOIL_00097,38.56,19.83,1.27,6.6,0
SOIL_00098,51.97,25.84,2.52,6.42,0
SOIL_00099,54.08,5.0,2.22,6.38,1
SOIL_00100,46.25,13.04,2.39,6.4,0
SOIL_00101,10.03,29.01,1.87,6.65,0
SOIL_00102,32.91,16.44,2.65,6.15,0
SOIL_00103,53.4,26.71,2.73,6.38,0
SOIL_00104,73.32,17.03,2.64,7.29,0
SOIL_00105,57.21,20.68,1.32,8.11,0
SOIL_00106,53.75,21.05,1.84,8.47,0
SOIL_00107,9.2,21.84,1.48,6.61,0
SOIL_00108,64.02,18.15,2.83,5.68,0
SOIL_00109,61.63,26.32,2.59,6.31,0
SOIL_00110,55.25,27.66,2.12,6.62,0
SOIL_00111,49.86,29.33,2.28,7.37,0
SOIL_00112,54.1,19.32,2.0,5.93,0
SOIL_00113,67.1,15.29,1.15,6.4,0
SOIL_00114,44.05,23.28,6.17,5.69,1
SOIL_00115,51.78,24.22,3.21,7.83,0
SOIL_00116,39.48,24.26,2.15,6.93,0
SOIL_00117,45.28,31.2,1.72,6.22,0
SOIL_00118,47.06,22.66,1.29,6.55,0
SOIL_00119,56.03,34.59,1.62,5.42,0
SOIL_00120,36.05,27.28,0.91,6.86,0
SOIL_00121,42.85,27.46,0.1,6.81,1
SOIL_00122,50.97,22.53,1.68,5.08,0
SOIL_00123,42.68,20.13,2.02,5.92,0
SOIL_00124,47.81,18.34,0.77,6.26,0
SOIL_00125,23.57,23.1,1.93,6.27,0
SOIL_00126,54.91,27.26,2.91,6.09,0
SOIL_00127,34.04,20.82,2.1,6.6,0
SOIL_00128,20.16,19.78,2.15,7.62,0
SOIL_00129,50.2,15.81,2.08,6.88,0
SOIL_00130,51.08,25.07,0.68,7.44,0
SOIL_00131,52.84,15.59,0.74,6.79,0
SOIL_00132,53.1,24.39,2.22,6.24,0
SOIL_00133,52.61,23.7,2.3,6.36,0
SOIL_00134,71.43,21.17,2.53,7.14,0
SOIL_00135,60.04,29.23,2.75,6.93,0
SOIL_00136,61.89,31.54,1.44,7.57,0
SOIL_00137,55.31,9.36,2.48,6.51,0
SOIL_00138,60.58,13.08,2.47,5.38,0
SOIL_00139,198.64,25.51,2.88,6.34,1
SOIL_00140,56.68,-13.26,2.92,5.31,1
SOIL_00141,65.93,13.83,1.53,6.39,0
SOIL_00142,41.22,24.53,1.74,5.56,0
SOIL_00143,69.75,11.53,1.95,6.43,0
SOIL_00144,38.95,10.88,1.22,6.62,0
SOIL_00145,53.53,34.41,2.58,6.4,0
SOIL_00146,26.77,24.33,1.65,6.28,0
SOIL_00147,59.44,12.77,2.62,6.19,0
SOIL_00148,67.05,20.7,2.86,7.41,0
SOIL_00149,44.54,17.31,1.6,3.5,1
SOIL_00150,21.04,19.44,0.58,5.28,0
SOIL_00151,-66.47,20.12,1.78,6.61,1
SOIL_00152,29.07,23.27,2.74,7.71,0
SOIL_00153,46.66,24.7,2.73,6.13,0
SOIL_00154,60.04,17.88,1.73,6.19,0
SOIL_00155,53.5,,1.89,7.01,1
SOIL_00156,17.06,24.43,1.69,5.82,0
SOIL_00157,39.14,18.1,1.38,5.56,0
SOIL_00158,48.71,18.05,0.6,5.25,0
SOIL_00159,69.94,22.63,2.16,7.04,0
SOIL_00160,42.34,22.18,1.46,7.2,0
SOIL_00161,53.96,19.33,1.95,6.03,0
SOIL_00162,48.17,28.31,2.27,5.58,0
SOIL_00163,34.43,-7.0,2.43,7.2,1
SOIL_00164,,34.11,1.32,6.4,1
SOIL_00165,41.56,20.51,0.1,4.89,1
SOIL_00166,67.9,26.23,2.21,6.8,0
SOIL_00167,31.0,30.75,2.26,6.73,0
SOIL_00168,41.76,16.64,1.41,7.61,0
SOIL_00169,34.21,19.85,2.5,7.17,0
SOIL_00170,274.36,29.36,1.77,7.22,1
SOIL_00171,51.91,26.04,6.3,5.8,1
SOIL_00172,69.67,21.86,1.11,5.42,0
SOIL_00173,0.0,13.71,2.14,2.59,1
SOIL_00174,61.7,14.21,1.97,6.51,0
SOIL_00175,28.8,19.28,2.07,7.02,0
SOIL_00176,34.38,17.18,1.03,6.6,0
SOIL_00177,41.59,17.32,0.24,7.66,0
SOIL_00178,277.23,11.0,2.23,6.16,1
SOIL_00179,44.7,13.86,2.64,6.53,0
SOIL_00180,32.21,16.71,0.67,5.99,0
SOIL_00181,43.11,22.7,1.51,5.8,0
SOIL_00182,43.29,19.94,3.65,7.56,0
SOIL_00183,15.25,22.35,2.19,6.41,0
SOIL_00184,,22.09,2.72,8.47,1
SOIL_00185,45.24,11.8,2.94,5.43,0
SOIL_00186,48.46,28.38,1.46,-0.93,1
SOIL_00187,36.05,26.4,3.44,6.63,0
SOIL_00188,45.46,22.26,0.58,7.5,0
SOIL_00189,5.96,18.82,2.16,5.79,0
SOIL_00190,35.3,30.16,2.04,3.5,1
SOIL_00191,36.92,15.91,1.03,5.37,0
SOIL_00192,0.0,27.87,1.28,7.67,1
SOIL_00193,44.46,16.79,1.37,5.12,0
SOIL_00194,62.17,29.9,0.79,6.6,0
SOIL_00195,24.98,24.79,0.81,8.5,0
SOIL_00196,57.97,27.37,1.58,0.53,1
SOIL_00197,81.06,23.27,1.46,7.49,0
SOIL_00198,36.22,24.68,1.34,7.87,0
SOIL_00199,-75.5,22.19,2.38,6.64,1
SOIL_00200,70.8,15.9,1.27,6.63,0
SOIL_00201,70.31,28.56,1.99,6.5,0
SOIL_00202,39.76,20.4,1.8,6.44,0
SOIL_00203,64.48,22.59,1.58,6.01,0
SOIL_00204,60.48,12.48,0.84,7.61,0
SOIL_00205,66.7,20.94,1.68,6.08,0
SOIL_00206,57.42,24.38,1.35,6.27,0
SOIL_00207,66.06,32.36,2.47,5.44,0
SOIL_00208,40.92,21.61,2.25,7.16,0
SOIL_00209,36.74,19.94,1.39,7.77,0
SOIL_00210,5.76,18.05,1.17,4.72,0
SOIL_00211,37.39,18.19,1.17,7.74,0
SOIL_00212,39.42,32.71,1.63,7.09,0
SOIL_00213,12.54,15.61,2.53,7.52,0
